rx_index,time_ns,softOut,rx_bit,tx_bit
489,495885000,-42,1,1
490,496885000,-40,1,1
491,497885000,38,0,0
492,498885000,-38,1,1
493,499885000,38,0,0
494,500885000,-38,1,1
495,501885000,38,0,0
496,502885000,-38,1,1
497,503885000,38,0,0
498,504885000,-40,1,1
499,505885000,-46,1,1
500,506885000,-42,1,1
501,507885000,42,0,0
502,508885000,46,0,0
503,509885000,46,0,0
504,510885000,42,0,0
505,511885000,-42,1,1
506,512885000,-40,1,1
507,513885000,38,0,0
508,514885000,-38,1,1
509,515885000,38,0,0
510,516885000,-38,1,1
511,517885000,40,0,0
512,518885000,40,0,0
513,519885000,-40,1,1
514,520885000,40,0,0
515,521885000,42,0,0
516,522885000,-42,1,1
517,523885000,-46,1,1
518,524885000,-48,1,1
519,525885000,-46,1,1
520,526885000,-40,1,1
521,527885000,40,0,0
522,528885000,-40,1,1
523,529885000,-46,1,1
524,530885000,-48,1,1
525,531885000,-46,1,1
526,532885000,-42,1,1
527,533885000,42,0,0
528,534885000,42,0,0
529,535885000,-42,1,1
530,536885000,-42,1,1
531,537885000,42,0,0
532,538885000,46,0,0
533,539885000,48,0,0
534,540885000,46,0,0
535,541885000,40,0,0
536,542885000,-38,1,1
537,543885000,38,0,0
538,544885000,-40,1,1
539,545885000,-46,1,1
540,546885000,-42,1,1
541,547885000,42,0,0
542,548885000,42,0,0
543,549885000,-42,1,1
544,550885000,-46,1,1
545,551885000,-40,1,1
546,552885000,40,0,0
547,553885000,-40,1,1
548,554885000,-40,1,1
549,555885000,40,0,0
550,556885000,-40,1,1
551,557885000,-40,1,1
552,558885000,38,0,0
553,559885000,-38,1,1
554,560885000,40,0,0
555,561885000,40,0,0
556,562885000,-38,1,1
557,563885000,38,0,0
558,564885000,-40,1,1
559,565885000,-46,1,1
560,566885000,-40,1,1
561,567885000,38,0,0
562,568885000,-38,1,1
563,569885000,38,0,0
564,570885000,-40,1,1
565,571885000,-46,1,1
566,572885000,-40,1,1
567,573885000,38,0,0
568,574885000,-38,1,1
569,575885000,40,0,0
570,576885000,46,0,0
571,577885000,40,0,0
572,578885000,-40,1,1
573,579885000,40,0,0
574,580885000,46,0,0
575,581885000,46,0,0
576,582885000,42,0,0
577,583885000,-42,1,1
578,584885000,-46,1,1
579,585885000,-42,1,1
580,586885000,42,0,0
581,587885000,46,0,0
582,588885000,48,0,0
583,589885000,46,0,0
584,590885000,42,0,0
585,591885000,-42,1,1
586,592885000,-40,1,1
587,593885000,40,0,0
588,594885000,-40,1,1
589,595885000,-40,1,1
590,596885000,40,0,0
591,597885000,-40,1,1
592,598885000,-40,1,1
593,599885000,38,0,0
594,600885000,-38,1,1
595,601885000,40,0,0
596,602885000,46,0,0
597,603885000,48,0,0
598,604885000,46,0,0
599,605885000,40,0,0
600,606885000,-40,1,1
601,607885000,40,0,0
602,608885000,42,0,0
603,609885000,-42,1,1
604,610885000,-42,1,1
605,611885000,42,0,0
606,612885000,46,0,0
607,613885000,42,0,0
608,614885000,-42,1,1
609,615885000,-42,1,1
610,616885000,42,0,0
611,617885000,46,0,0
612,618885000,40,0,0
613,619885000,-38,1,1
614,620885000,38,0,0
615,621885000,-38,1,1
616,622885000,38,0,0
617,623885000,-38,1,1
618,624885000,38,0,0
619,625885000,-40,1,1
620,626885000,-42,1,1
621,627885000,42,0,0
622,628885000,42,0,0
623,629885000,-42,1,1
624,630885000,-46,1,1
625,631885000,-40,1,1
626,632885000,38,0,0
627,633885000,-38,1,1
628,634885000,38,0,0
629,635885000,-40,1,1
630,636885000,-46,1,1
631,637885000,-40,1,1
632,638885000,40,0,0
633,639885000,-40,1,1
634,640885000,-40,1,1
635,641885000,40,0,0
636,642885000,-40,1,1
637,643885000,-40,1,1
638,644885000,40,0,0
639,645885000,-40,1,1
640,646885000,-40,1,1
641,647885000,40,0,0
642,648885000,-40,1,1
643,649885000,-46,1,1
644,650885000,-42,1,1
645,651885000,42,0,0
646,652885000,42,0,0
647,653885000,-42,1,1
648,654885000,-46,1,1
649,655885000,-40,1,1
650,656885000,40,0,0
651,657885000,-40,1,1
652,658885000,-46,1,1
653,659885000,-46,1,1
654,660885000,-40,1,1
655,661885000,40,0,0
656,662885000,-40,1,1
657,663885000,-46,1,1
658,664885000,-40,1,1
659,665885000,38,0,0
660,666885000,-38,1,1
661,667885000,40,0,0
662,668885000,46,0,0
663,669885000,40,0,0
664,670885000,-38,1,1
665,671885000,38,0,0
666,672885000,-40,1,1
