"rx_index","time_ns","softOut"
"1048","1054885000","-42"
"1049","1055885000","-46"
"1050","1056885000","-40"
"1051","1057885000","38"
"1052","1058885000","-38"
"1053","1059885000","38"
"1054","1060885000","-38"
"1055","1061885000","40"
"1056","1062885000","42"
"1057","1063885000","-42"
"1058","1064885000","-46"
"1059","1065885000","-42"
"1060","1066885000","42"
"1061","1067885000","42"
"1062","1068885000","-42"
"1063","1069885000","-42"
"1064","1070885000","42"
"1065","1071885000","40"
"1066","1072885000","-38"
"1067","1073885000","38"
"1068","1074885000","-38"
"1069","1075885000","40"
"1070","1076885000","46"
"1071","1077885000","42"
"1072","1078885000","-42"
"1073","1079885000","-40"
"1074","1080885000","40"
"1075","1081885000","-40"
"1076","1082885000","-42"
"1077","1083885000","42"
"1078","1084885000","46"
"1079","1085885000","46"
"1080","1086885000","42"
"1081","1087885000","-42"
"1082","1088885000","-46"
"1083","1089885000","-48"
"1084","1090885000","-46"
"1085","1091885000","-42"
"1086","1092885000","42"
"1087","1093885000","40"
"1088","1094885000","-38"
"1089","1095885000","38"
"1090","1096885000","-40"
"1091","1097885000","-40"
"1092","1098885000","40"
"1093","1099885000","-40"
"1094","1100885000","-46"
"1095","1101885000","-40"
"1096","1102885000","38"
"1097","1103885000","-38"
"1098","1104885000","38"
"1099","1105885000","-38"
"1100","1106885000","40"
"1101","1107885000","46"
"1102","1108885000","40"
"1103","1109885000","-40"
"1104","1110885000","40"
"1105","1111885000","46"
"1106","1112885000","48"
"1107","1113885000","46"
"1108","1114885000","40"
"1109","1115885000","-40"
"1110","1116885000","40"
"1111","1117885000","40"
"1112","1118885000","-38"
"1113","1119885000","38"
"1114","1120885000","-40"
"1115","1121885000","-46"
"1116","1122885000","-40"
"1117","1123885000","38"
"1118","1124885000","-38"
"1119","1125885000","38"
"1120","1126885000","-38"
"1121","1127885000","38"
"1122","1128885000","-40"
"1123","1129885000","-40"
"1124","1130885000","38"
"1125","1131885000","-38"
"1126","1132885000","40"
"1127","1133885000","40"
"1128","1134885000","-38"
"1129","1135885000","38"
"1130","1136885000","-40"
"1131","1137885000","-46"
"1132","1138885000","-46"
"1133","1139885000","-40"
"1134","1140885000","38"
"1135","1141885000","-38"
"1136","1142885000","38"
"1137","1143885000","-38"
"1138","1144885000","40"
"1139","1145885000","40"
"1140","1146885000","-40"
"1141","1147885000","40"
"1142","1148885000","40"
"1143","1149885000","-38"
"1144","1150885000","38"
"1145","1151885000","-40"
"1146","1152885000","-46"
"1147","1153885000","-46"
"1148","1154885000","-42"
"1149","1155885000","42"
"1150","1156885000","46"
"1151","1157885000","46"
"1152","1158885000","42"
"1153","1159885000","-42"
"1154","1160885000","-46"
"1155","1161885000","-40"
"1156","1162885000","38"
"1157","1163885000","-38"
"1158","1164885000","38"
"1159","1165885000","-38"
"1160","1166885000","40"
"1161","1167885000","46"
"1162","1168885000","40"
"1163","1169885000","-38"
"1164","1170885000","38"
"1165","1171885000","-38"
"1166","1172885000","40"
"1167","1173885000","46"
"1168","1174885000","40"
"1169","1175885000","-38"
"1170","1176885000","38"
"1171","1177885000","-40"
"1172","1178885000","-40"
"1173","1179885000","40"
"1174","1180885000","-40"
"1175","1181885000","-46"
"1176","1182885000","-40"
"1177","1183885000","40"
"1178","1184885000","-40"
"1179","1185885000","-46"
"1180","1186885000","-42"
"1181","1187885000","42"
"1182","1188885000","40"
"1183","1189885000","-38"
"1184","1190885000","38"
"1185","1191885000","-40"
"1186","1192885000","-46"
"1187","1193885000","-46"
"1188","1194885000","-40"
"1189","1195885000","40"
"1190","1196885000","-40"
"1191","1197885000","-42"
"1192","1198885000","42"
"1193","1199885000","46"
"1194","1200885000","46"
"1195","1201885000","42"
"1196","1202885000","-42"
"1197","1203885000","-46"
"1198","1204885000","-46"
"1199","1205885000","-40"
"1200","1206885000","40"
"1201","1207885000","-40"
"1202","1208885000","-42"
"1203","1209885000","42"
"1204","1210885000","46"
"1205","1211885000","46"
"1206","1212885000","40"
"1207","1213885000","-38"
"1208","1214885000","38"
"1209","1215885000","-38"
"1210","1216885000","40"
"1211","1217885000","46"
"1212","1218885000","48"
"1213","1219885000","46"
"1214","1220885000","40"
"1215","1221885000","-38"
"1216","1222885000","38"
"1217","1223885000","-40"
"1218","1224885000","-40"
"1219","1225885000","38"
"1220","1226885000","-38"
"1221","1227885000","40"
"1222","1228885000","40"
"1223","1229885000","-38"
"1224","1230885000","38"
"1225","1231885000","-38"
"1226","1232885000","40"
"1227","1233885000","46"
"1228","1234885000","42"
"1229","1235885000","-42"
"1230","1236885000","-40"
"1231","1237885000","40"
"1232","1238885000","-40"
"1233","1239885000","-46"
"1234","1240885000","-46"
"1235","1241885000","-42"
"1236","1242885000","42"
"1237","1243885000","46"
"1238","1244885000","40"
"1239","1245885000","-40"
"1240","1246885000","40"
"1241","1247885000","40"
"1242","1248885000","-40"
"1243","1249885000","40"
"1244","1250885000","40"
"1245","1251885000","-40"
"1246","1252885000","40"
"1247","1253885000","46"
"1248","1254885000","46"
"1249","1255885000","40"
"1250","1256885000","-40"
"1251","1257885000","40"
"1252","1258885000","46"
"1253","1259885000","42"
"1254","1260885000","-42"
"1255","1261885000","-40"
"1256","1262885000","40"
"1257","1263885000","-40"
"1258","1264885000","-46"
"1259","1265885000","-42"
"1260","1266885000","42"
"1261","1267885000","40"
"1262","1268885000","-38"
"1263","1269885000","38"
"1264","1270885000","-40"
"1265","1271885000","-46"
"1266","1272885000","-40"
"1267","1273885000","38"
"1268","1274885000","-38"
"1269","1275885000","40"
"1270","1276885000","46"
"1271","1277885000","46"
"1272","1278885000","42"
"1273","1279885000","-42"
